Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1644081556.482831,1644081556.486343,2,3.5119056701660156,dilithium3,1000,loss,0%,4,9,4068,1429,8,9,3947,1004,
1644081557.508955,1644081557.510975,3,2.0198822021484375,dilithium3,1000,loss,0%,4,9,4073,1430,8,9,3952,1005,
1644081558.540433,1644081558.543492,4,3.0591487884521484,dilithium3,1000,loss,0%,6,8,4299,1355,9,8,4094,972,
1644081559.559017,1644081559.561814,5,2.7971267700195312,dilithium3,1000,loss,0%,4,8,4068,1354,8,8,3947,971,
1644081560.578591,1644081560.58259,6,3.998994827270508,dilithium3,1000,loss,0%,4,9,4071,1428,8,9,3950,1003,
1644081561.606441,1644081561.609195,7,2.7539730072021484,dilithium3,1000,loss,0%,4,8,4080,1354,8,8,3959,971,
1644081562.632616,1644081562.634626,8,2.009868621826172,dilithium3,1000,loss,0%,4,8,4072,1354,8,8,3951,971,
1644081563.659055,1644081563.661185,9,2.1300315856933594,dilithium3,1000,loss,0%,4,8,4071,1354,8,8,3950,971,
1644081564.682425,1644081564.685675,10,3.2498836517333984,dilithium3,1000,loss,0%,4,8,4075,1354,8,8,3954,971,
1644081565.704775,1644081565.707194,11,2.418994903564453,dilithium3,1000,loss,0%,4,8,4078,1355,8,8,3957,972,
1644081566.730012,1644081566.733368,12,3.3559799194335938,dilithium3,1000,loss,0%,4,9,4078,1429,8,9,3957,1004,
1644081567.750446,1644081567.752946,13,2.499818801879883,dilithium3,1000,loss,0%,4,9,4073,1429,8,9,3952,1004,
1644081568.778014,1644081568.78108,14,3.0660629272460938,dilithium3,1000,loss,0%,4,9,4076,1428,8,9,3955,1003,
1644081569.79924,1644081569.801746,15,2.505779266357422,dilithium3,1000,loss,0%,4,8,4071,1354,8,8,3950,971,
1644081570.815838,1644081570.818602,16,2.763986587524414,dilithium3,1000,loss,0%,4,8,4076,1354,8,8,3955,971,
1644081571.839003,1644081571.841662,17,2.658843994140625,dilithium3,1000,loss,0%,4,8,4076,1354,8,8,3955,971,
1644081572.857659,1644081572.859571,18,1.9118785858154297,dilithium3,1000,loss,0%,4,8,4072,1354,8,8,3951,971,
1644081573.873097,1644081573.875042,19,1.9450187683105469,dilithium3,1000,loss,0%,4,8,4078,1354,8,8,3957,971,
1644081574.887251,1644081574.890565,20,3.3140182495117188,dilithium3,1000,loss,0%,4,8,4069,1359,8,8,3948,976,
1644081575.907564,1644081575.91022,21,2.6559829711914062,dilithium3,1000,loss,0%,6,9,4291,1430,9,9,4086,1005,
1644081576.928249,1644081576.93047,22,2.2211074829101562,dilithium3,1000,loss,0%,4,8,4070,1354,8,8,3949,971,
1644081577.949607,1644081577.951796,23,2.189159393310547,dilithium3,1000,loss,0%,4,9,4077,1429,8,9,3956,1004,
1644081578.969298,1644081578.971427,24,2.129077911376953,dilithium3,1000,loss,0%,4,8,4070,1355,8,8,3949,972,
1644081579.986066,1644081579.988878,25,2.811908721923828,dilithium3,1000,loss,0%,4,8,4073,1354,8,8,3952,971,
1644081581.002686,1644081581.005696,26,3.0100345611572266,dilithium3,1000,loss,0%,4,8,4070,1354,8,8,3949,971,
1644081582.021028,1644081582.023549,27,2.521038055419922,dilithium3,1000,loss,0%,4,9,4075,1430,8,9,3954,1005,
1644081583.042236,1644081583.04473,28,2.4938583374023438,dilithium3,1000,loss,0%,4,8,4071,1354,8,8,3950,971,
1644081584.079645,1644081584.083069,29,3.4241676330566406,dilithium3,1000,loss,0%,4,8,4070,1354,8,8,3949,971,
1644081585.096299,1644081585.09907,30,2.771139144897461,dilithium3,1000,loss,0%,6,8,4290,1355,9,8,4085,972,
1644081586.111905,1644081586.115069,31,3.1638145446777344,dilithium3,1000,loss,0%,6,9,4298,1429,9,9,4093,1004,
1644081588.154418,1644081588.156539,33,2.1209716796875,dilithium3,1000,loss,0%,4,9,4079,1428,8,9,3958,1003,
1644081589.169629,1644081589.171724,34,2.0949840545654297,dilithium3,1000,loss,0%,4,8,4079,1354,8,8,3958,971,
1644081590.186645,1644081590.189701,35,3.056049346923828,dilithium3,1000,loss,0%,4,9,4071,1429,8,9,3950,1004,
1644081591.206548,1644081591.209976,36,3.4279823303222656,dilithium3,1000,loss,0%,4,8,4072,1354,8,8,3951,971,
1644081592.226621,1644081592.230148,37,3.5271644592285156,dilithium3,1000,loss,0%,4,8,4078,1354,8,8,3957,971,
1644081593.254783,1644081593.258717,38,3.934144973754883,dilithium3,1000,loss,0%,4,8,4069,1354,8,8,3948,971,
1644081594.282286,1644081594.286316,39,4.029989242553711,dilithium3,1000,loss,0%,4,10,4074,1500,8,10,3953,1033,
1644081595.302034,1644081595.305449,40,3.4151077270507812,dilithium3,1000,loss,0%,4,8,4071,1354,8,8,3950,971,
1644081596.320229,1644081596.322897,41,2.6679039001464844,dilithium3,1000,loss,0%,6,9,4289,1430,9,9,4084,1005,
1644081597.342535,1644081597.346767,42,4.231929779052734,dilithium3,1000,loss,0%,6,9,4295,1429,9,9,4090,1004,
1644081598.367467,1644081598.369477,43,2.0101070404052734,dilithium3,1000,loss,0%,4,9,4075,1429,8,9,3954,1004,
1644081599.398294,1644081599.401489,44,3.195047378540039,dilithium3,1000,loss,0%,4,8,4070,1354,8,8,3949,971,
1644081600.418297,1644081600.42226,45,3.962993621826172,dilithium3,1000,loss,0%,4,8,4068,1354,8,8,3947,971,
1644081601.453235,1644081601.455382,46,2.147197723388672,dilithium3,1000,loss,0%,4,10,4079,1500,8,10,3958,1033,
1644081602.47172,1644081602.47432,47,2.599954605102539,dilithium3,1000,loss,0%,4,8,4068,1354,8,8,3947,971,
