FILE NAME,Start timestamp (s) (AVERAGED),(± CI) Start timestamp (s),End timestamp (s) (AVERAGED),(± CI) End timestamp (s),Handshake number (AVERAGED),(± CI) Handshake number,Handshake duration (ms) (AVERAGED),(± CI) Handshake duration (ms),Algorithm (AVERAGED),(± CI) Algorithm,Num Samples (AVERAGED),(± CI) Num Samples,Experiment Type (AVERAGED),(± CI) Experiment Type,Type Value (AVERAGED),(± CI) Type Value,Number of handshake packets (AVERAGED),(± CI) Number of handshake packets,Number of payload packets (AVERAGED),(± CI) Number of payload packets,Number of handshake bytes (AVERAGED),(± CI) Number of handshake bytes,Number of payload bytes (AVERAGED),(± CI) Number of payload bytes,Number of long headers (AVERAGED),(± CI) Number of long headers,Number of short headers (AVERAGED),(± CI) Number of short headers,Bytes for long headers (AVERAGED),(± CI) Bytes for long headers,Bytes for short headers (AVERAGED),(± CI) Bytes for short headers, (AVERAGED),(± CI) 
.\fullyAutomatedLogs_tcp_delays_12_30_2021\pending_TCPDUMP_dilithium2_numSamples_1000_delay_0ms_SZUBagJida_parsed_handshake_remove95percentile.csv,1640802272.131563,46.312866161508346,1640802272.1387815,46.31286320862367,495.3058954393771,18.828016273586233,7.217658109739174,0.22211741163207732,dilithium2,,1000.0,0.0,delay,,0ms,,8.174638487208009,0.04442183624201573,4.487208008898777,0.0327358401723143,7677.526140155728,2.9318411919730387,296.15572858731923,2.1605654513727424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\fullyAutomatedLogs_tcp_delays_12_30_2021\pending_TCPDUMP_dilithium2_numSamples_1000_delay_100ms_RSHcERxJVF_parsed_handshake_remove95percentile.csv,1640716368.8249557,67.73484394113468,1640716369.2506106,67.73484493350364,497.7962138084633,18.818637634634722,425.65553968892596,0.3877592232026594,dilithium2,,1000.0,0.0,delay,,100ms,,11.956570155902005,0.014390481214642929,4.536748329621381,0.032676242727665145,7927.133630289532,0.9497717601664336,299.4253897550111,2.1566320200258997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\fullyAutomatedLogs_tcp_delays_12_30_2021\pending_TCPDUMP_dilithium2_numSamples_1000_delay_200ms_sviSlQtkHZ_parsed_handshake_remove95percentile.csv,1640684856.3350523,69.79140369548914,1640684857.1516037,69.79141431189845,502.05790645879733,18.905675353549466,816.5507422789168,0.3342363177082729,dilithium2,,1000.0,0.0,delay,,200ms,,12.001113585746102,0.007252278207821513,4.310690423162583,0.03201317766870796,7930.073496659243,0.47865036171621994,284.5055679287305,2.1128697261347256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\fullyAutomatedLogs_tcp_delays_12_30_2021\pending_TCPDUMP_dilithium2_numSamples_1000_delay_25ms_YpCBAcXvmN_parsed_handshake_remove95percentile.csv,1640769985.4097376,67.53580899336662,1640769985.5406315,67.53581729461693,500.10690423162583,18.959809639791047,130.896853710336,0.3789880532496281,dilithium2,,1000.0,0.0,delay,,25ms,,11.947661469933184,0.016442897198440453,4.5456570155902005,0.03262796971889835,7926.54565701559,1.0852312150970698,300.0133630289532,2.153446001447292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\fullyAutomatedLogs_tcp_delays_12_30_2021\pending_TCPDUMP_dilithium2_numSamples_1000_delay_50ms_CtUteZdoYU_parsed_handshake_remove95percentile.csv,1640751536.7173827,67.56826877871174,1640751536.947568,67.56827512342727,500.65812917594656,18.903989097965827,230.18373227066346,0.38156715680557607,dilithium2,,1000.0,0.0,delay,,50ms,,11.94543429844098,0.014883799608219648,4.548997772828508,0.03260715442509307,7926.398663697105,0.9823307741424968,300.2338530066815,2.1520721920561434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\fullyAutomatedLogs_tcp_delays_12_30_2021\pending_TCPDUMP_dilithium3_numSamples_1000_delay_0ms_jdsWNKLxgR_parsed_handshake_remove95percentile.csv,1640804769.690273,46.92054171399085,1640804769.6985657,46.92056168271247,499.1726057906459,19.00129409740637,8.290480930183938,0.2370007375083616,dilithium3,,1000.0,0.0,delay,,0ms,,10.25835189309577,0.05719366730915281,4.532293986636971,0.03269644402237566,10201.05122494432,3.774782042404085,299.1314031180401,2.1579653054767935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\fullyAutomatedLogs_tcp_delays_12_30_2021\pending_TCPDUMP_dilithium3_numSamples_1000_delay_100ms_UHfjzsYVTJ_parsed_handshake_remove95percentile.csv,1640719990.332362,68.19454010197875,1640719990.7584133,68.19455732183617,498.5055679287305,18.947480109588515,426.04948099047147,0.37958198375529123,dilithium3,,1000.0,0.0,delay,,100ms,,13.877505567928731,0.029865468691602625,4.542316258351893,0.032647303798564085,10439.915367483296,1.9711209336457736,299.79287305122494,2.15472205070523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\fullyAutomatedLogs_tcp_delays_12_30_2021\pending_TCPDUMP_dilithium3_numSamples_1000_delay_200ms_NkwshXoRYj_parsed_handshake_remove95percentile.csv,1640688559.253929,69.56184447045678,1640688560.0714564,69.56183818569114,497.0522803114572,18.796975302256037,817.5322571904031,0.3229423912691139,dilithium3,,1000.0,0.0,delay,,200ms,,13.996662958843158,0.011760880682114172,4.264738598442714,0.030344900184707306,10447.77975528365,0.7762181250195356,281.47274749721913,2.002763412190682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\fullyAutomatedLogs_tcp_delays_12_30_2021\pending_TCPDUMP_dilithium3_numSamples_1000_delay_25ms_OoAoOYOLDK_parsed_handshake_remove95percentile.csv,1640773550.356563,67.45539875979333,1640773550.4870663,67.45538470077184,496.1368186874305,18.95398953737773,130.50289997402103,0.3740653609323097,dilithium3,,1000.0,0.0,delay,,25ms,,13.887652947719689,0.02845093376145627,4.5706340378198,0.03241815605987518,10440.585094549499,1.877761628256114,301.66184649610676,2.1395982999517615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
.\fullyAutomatedLogs_tcp_delays_12_30_2021\pending_TCPDUMP_dilithium3_numSamples_1000_delay_50ms_dQmruiWGzQ_parsed_handshake_remove95percentile.csv,1640755132.8177464,67.3448707847196,1640755133.0477982,67.34486030621034,498.8830734966592,18.822871427368504,230.0506463826101,0.3638342193040998,dilithium3,,1000.0,0.0,delay,,50ms,,13.865256124721604,0.030355433346231395,4.521158129175946,0.03273550788818598,10439.106904231627,2.0034586008512716,298.39643652561244,2.1605435206202745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
