Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1640683003.49988,1640683004.311541,0,811.6610050201416,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1640683007.272162,1640683008.092125,1,819.9629783630371,dilithium2,1000,delay,200ms,12,5,7930,330,0,0,0,0,
1640683011.085565,1640683011.904695,2,819.1299438476562,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1640683014.750739,1640683015.573115,3,822.376012802124,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1640683018.53632,1640683019.34338,4,807.0600032806396,dilithium2,1000,delay,200ms,12,5,7930,330,0,0,0,0,
1640683022.123219,1640683022.937215,5,813.9960765838623,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1640683025.864803,1640683026.674074,6,809.2708587646484,dilithium2,1000,delay,200ms,12,5,7930,330,0,0,0,0,
1640683029.491554,1640683030.305355,7,813.8010501861572,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1640683033.224002,1640683034.052891,8,828.8891315460205,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1640683036.928345,1640683037.741201,9,812.8559589385986,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1640683040.67619,1640683041.498472,10,822.282075881958,dilithium2,1000,delay,200ms,12,5,7930,330,0,0,0,0,
1640683044.338845,1640683045.156928,11,818.0830478668213,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1640683048.127574,1640683048.971926,12,844.3520069122314,dilithium2,1000,delay,200ms,12,5,7930,330,0,0,0,0,
1640683051.797918,1640683052.6108,13,812.8819465637207,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1640683055.496113,1640683056.309672,14,813.5590553283691,dilithium2,1000,delay,200ms,12,5,7930,330,0,0,0,0,
1640683059.193993,1640683060.006544,15,812.5510215759277,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1640683062.896012,1640683063.721478,16,825.4659175872803,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1640683066.5614,1640683067.375484,17,814.0840530395508,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1640683070.408247,1640683071.225086,18,816.8389797210693,dilithium2,1000,delay,200ms,12,5,7930,330,0,0,0,0,
1640683074.050452,1640683074.86426,19,813.8079643249512,dilithium2,1000,delay,200ms,12,5,7930,330,0,0,0,0,
1640683077.659407,1640683078.471762,20,812.3550415039062,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1640683081.370502,1640683082.190001,21,819.4990158081055,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1640683085.066809,1640683085.88399,22,817.1811103820801,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1640683088.720725,1640683089.533743,23,813.0178451538086,dilithium2,1000,delay,200ms,12,5,7930,330,0,0,0,0,
1640683092.339849,1640683093.169551,24,829.7019004821777,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1640683096.135815,1640683096.948716,25,812.9010200500488,dilithium2,1000,delay,200ms,12,6,7930,396,0,0,0,0,
1640683099.764386,1640683100.591414,26,827.0280361175537,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1640683103.462053,1640683104.286127,27,824.0740299224854,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1640683107.217142,1640683108.03806,28,820.9178447723389,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1640683110.907773,1640683111.723997,29,816.2240982055664,dilithium2,1000,delay,200ms,12,5,7930,330,0,0,0,0,
1640683114.478967,1640683115.29748,30,818.5131549835205,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
1640683118.247849,1640683119.064778,31,816.9291019439697,dilithium2,1000,delay,200ms,12,4,7930,264,0,0,0,0,
