Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1640803536.124508,1640803536.136764,0,12.256145477294922,dilithium3,1000,delay,0ms,10,4,10184,264,0,0,0,0,
1640803538.59862,1640803538.607714,1,9.093999862670898,dilithium3,1000,delay,0ms,10,4,10184,264,0,0,0,0,
1640803541.124407,1640803541.129238,2,4.830837249755859,dilithium3,1000,delay,0ms,10,5,10184,330,0,0,0,0,
1640803548.599491,1640803548.604135,4,4.644155502319336,dilithium3,1000,delay,0ms,10,4,10184,264,0,0,0,0,
1640803551.026898,1640803551.031515,5,4.616975784301758,dilithium3,1000,delay,0ms,10,5,10184,330,0,0,0,0,
1640803553.557997,1640803553.570988,6,12.990951538085938,dilithium3,1000,delay,0ms,10,5,10184,330,0,0,0,0,
1640803555.831675,1640803555.839405,7,7.730007171630859,dilithium3,1000,delay,0ms,10,5,10184,330,0,0,0,0,
1640803558.295028,1640803558.303473,8,8.445024490356445,dilithium3,1000,delay,0ms,10,4,10184,264,0,0,0,0,
1640803560.811545,1640803560.816597,9,5.052089691162109,dilithium3,1000,delay,0ms,10,4,10184,264,0,0,0,0,
1640803563.231491,1640803563.248047,10,16.5560245513916,dilithium3,1000,delay,0ms,9,5,10118,330,0,0,0,0,
1640803565.796439,1640803565.803317,11,6.878137588500977,dilithium3,1000,delay,0ms,10,4,10184,264,0,0,0,0,
1640803568.208221,1640803568.214495,12,6.273984909057617,dilithium3,1000,delay,0ms,10,4,10184,264,0,0,0,0,
1640803570.626688,1640803570.643904,13,17.215967178344727,dilithium3,1000,delay,0ms,10,5,10184,330,0,0,0,0,
1640803572.962184,1640803572.968385,14,6.201028823852539,dilithium3,1000,delay,0ms,10,4,10184,264,0,0,0,0,
