Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1640753344.698539,1640753344.935826,0,237.28704452514648,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753348.239308,1640753348.460182,1,220.87383270263672,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753351.695638,1640753351.927368,2,231.72998428344727,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753355.259371,1640753355.487135,3,227.76389122009277,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753358.772388,1640753358.99887,4,226.48191452026367,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753362.352024,1640753362.588847,5,236.82284355163574,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753365.939829,1640753366.167006,6,227.17690467834473,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753369.366155,1640753369.590951,7,224.79605674743652,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753372.931617,1640753373.166169,8,234.55190658569336,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753376.46586,1640753376.700161,9,234.30109024047852,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753380.060056,1640753380.298613,10,238.5571002960205,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753383.60741,1640753383.831012,11,223.6020565032959,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753387.226533,1640753387.462932,12,236.39917373657227,dilithium3,1000,delay,50ms,12,4,10316,264,0,0,0,0,
1640753390.839451,1640753391.066235,13,226.78399085998535,dilithium3,1000,delay,50ms,12,5,10316,330,0,0,0,0,
1640753394.406293,1640753394.633684,14,227.39100456237793,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753398.033295,1640753398.26134,15,228.04498672485352,dilithium3,1000,delay,50ms,12,5,10316,330,0,0,0,0,
1640753401.596223,1640753401.843197,16,246.97399139404297,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753405.024443,1640753405.254797,17,230.35407066345215,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753408.62662,1640753408.867284,18,240.66400527954102,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753412.199787,1640753412.434043,19,234.25602912902832,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753415.835627,1640753416.055275,20,219.64788436889648,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753419.410409,1640753419.644052,21,233.6430549621582,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753423.127449,1640753423.364617,22,237.1680736541748,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753426.855002,1640753427.083137,23,228.1351089477539,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753430.411537,1640753430.643826,24,232.28907585144043,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753433.866655,1640753434.097043,25,230.38792610168457,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753437.355587,1640753437.586947,26,231.35995864868164,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753441.0211,1640753441.259275,27,238.1749153137207,dilithium3,1000,delay,50ms,12,5,10316,330,0,0,0,0,
1640753444.451943,1640753444.671525,28,219.58208084106445,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753448.07994,1640753448.29836,29,218.42002868652344,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753451.67947,1640753451.916113,30,236.64283752441406,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753455.231592,1640753455.455799,31,224.20716285705566,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753458.852157,1640753459.082322,32,230.1647663116455,dilithium3,1000,delay,50ms,13,5,10382,330,0,0,0,0,
1640753462.236858,1640753462.471119,33,234.26103591918945,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753465.799821,1640753469.642917,34,3843.0960178375244,dilithium3,1000,delay,50ms,33,5,21226,330,0,0,0,0,
1640753472.846797,1640753473.075442,35,228.64508628845215,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753476.420953,1640753476.652241,36,231.28795623779297,dilithium3,1000,delay,50ms,13,5,10382,330,0,0,0,0,
1640753480.031117,1640753480.259132,37,228.01494598388672,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753483.557887,1640753483.792223,38,234.33589935302734,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753487.135046,1640753487.363608,39,228.5618782043457,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753490.84208,1640753491.071732,40,229.65192794799805,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753494.336639,1640753494.572739,41,236.0999584197998,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753497.928193,1640753498.142576,42,214.38288688659668,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753501.472078,1640753501.695629,43,223.55079650878906,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753504.960503,1640753505.199643,44,239.13979530334473,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753508.576631,1640753508.804142,45,227.51092910766602,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753512.271056,1640753512.496392,46,225.33607482910156,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753515.924335,1640753516.147196,47,222.86105155944824,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753519.511388,1640753519.743088,48,231.69994354248047,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753523.222626,1640753523.462766,49,240.13996124267578,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753526.967848,1640753527.191902,50,224.05385971069336,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753530.607566,1640753530.856269,51,248.7027645111084,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753534.247852,1640753534.478756,52,230.90386390686035,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753537.785844,1640753538.017628,53,231.78386688232422,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753541.303577,1640753541.525958,54,222.3811149597168,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753544.773316,1640753545.000763,55,227.4470329284668,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753548.381649,1640753548.615282,56,233.63304138183594,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753551.954603,1640753552.183204,57,228.60097885131836,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753555.575261,1640753555.798012,58,222.75090217590332,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753559.116409,1640753559.340931,59,224.52187538146973,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753562.75846,1640753562.987819,60,229.35891151428223,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753566.384545,1640753566.611516,61,226.97091102600098,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753569.974427,1640753570.206333,62,231.90593719482422,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753573.539903,1640753573.762985,63,223.0820655822754,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753577.178856,1640753577.404019,64,225.16322135925293,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753580.702927,1640753580.928764,65,225.83699226379395,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753584.330646,1640753584.55867,66,228.02400588989258,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753587.871052,1640753588.102961,67,231.90903663635254,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753591.487863,1640753591.719835,68,231.97197914123535,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753595.175584,1640753595.431052,69,255.46789169311523,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753598.695153,1640753598.926301,70,231.14800453186035,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753602.219682,1640753602.43665,71,216.96805953979492,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753605.723083,1640753605.958236,72,235.1529598236084,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753609.259468,1640753609.492863,73,233.39486122131348,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753612.845898,1640753613.07711,74,231.21213912963867,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753616.382784,1640753616.619252,75,236.46807670593262,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753619.886461,1640753620.123244,76,236.78302764892578,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753623.495978,1640753623.715287,77,219.30885314941406,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753627.055726,1640753627.28532,78,229.59399223327637,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753630.664249,1640753630.896206,79,231.95695877075195,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753634.316567,1640753634.537989,80,221.4219570159912,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753637.850936,1640753638.092306,81,241.36996269226074,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753641.490627,1640753641.726725,82,236.098051071167,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753645.072235,1640753645.292609,83,220.37386894226074,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753648.616158,1640753648.835625,84,219.4669246673584,dilithium3,1000,delay,50ms,13,5,10382,330,0,0,0,0,
1640753652.247385,1640753652.477518,85,230.133056640625,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753655.762628,1640753655.992252,86,229.62403297424316,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753659.306991,1640753659.530859,87,223.86789321899414,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753662.963807,1640753663.177831,88,214.02382850646973,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753666.512225,1640753666.726694,89,214.46919441223145,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753670.102055,1640753670.328657,90,226.60183906555176,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753673.676971,1640753673.901774,91,224.80297088623047,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753677.268895,1640753677.491274,92,222.37920761108398,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753680.795785,1640753681.024613,93,228.82795333862305,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753684.215855,1640753684.458281,94,242.42615699768066,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753687.765229,1640753687.986759,95,221.52996063232422,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753691.203621,1640753691.42853,96,224.90906715393066,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753694.844798,1640753695.0769,97,232.1019172668457,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753698.473422,1640753698.703296,98,229.8738956451416,dilithium3,1000,delay,50ms,14,4,10448,264,0,0,0,0,
1640753702.082545,1640753702.303816,99,221.27103805541992,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753705.575454,1640753705.811963,100,236.5090847015381,dilithium3,1000,delay,50ms,14,5,10448,330,0,0,0,0,
1640753709.127333,1640753709.355638,101,228.30510139465332,dilithium3,1000,delay,50ms,13,5,10382,330,0,0,0,0,
