Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1640690446.856654,1640690447.671504,0,814.8500919342041,dilithium5,1000,delay,200ms,16,4,13824,264,0,0,0,0,
1640690450.54923,1640690451.370398,1,821.1679458618164,dilithium5,1000,delay,200ms,16,4,13824,264,0,0,0,0,
1640690454.292712,1640690455.104307,2,811.5949630737305,dilithium5,1000,delay,200ms,16,5,13824,330,0,0,0,0,
1640690457.9189,1640690458.732771,3,813.870906829834,dilithium5,1000,delay,200ms,16,4,13824,264,0,0,0,0,
1640690461.616561,1640690462.44425,4,827.6891708374023,dilithium5,1000,delay,200ms,16,4,13824,264,0,0,0,0,
1640690465.393475,1640690466.214001,5,820.5258846282959,dilithium5,1000,delay,200ms,16,4,13824,264,0,0,0,0,
1640690469.067442,1640690469.883451,6,816.0090446472168,dilithium5,1000,delay,200ms,16,4,13824,264,0,0,0,0,
1640690472.759475,1640690473.571779,7,812.3040199279785,dilithium5,1000,delay,200ms,16,4,13824,264,0,0,0,0,
1640690476.472144,1640690477.2937,8,821.5560913085938,dilithium5,1000,delay,200ms,16,4,13824,264,0,0,0,0,
1640690480.270996,1640690481.078786,9,807.7898025512695,dilithium5,1000,delay,200ms,16,5,13824,330,0,0,0,0,
1640690483.907923,1640690484.723963,10,816.0400390625,dilithium5,1000,delay,200ms,16,5,13824,330,0,0,0,0,
1640690487.536808,1640690488.348544,11,811.7358684539795,dilithium5,1000,delay,200ms,16,4,13824,264,0,0,0,0,
1640690491.268882,1640690492.0806,12,811.7179870605469,dilithium5,1000,delay,200ms,16,5,13824,330,0,0,0,0,
1640690498.483988,1640690499.305117,14,821.1288452148438,dilithium5,1000,delay,200ms,16,5,13824,330,0,0,0,0,
1640690502.127367,1640690502.948169,15,820.8019733428955,dilithium5,1000,delay,200ms,16,4,13824,264,0,0,0,0,
1640690505.916286,1640690506.725597,16,809.3109130859375,dilithium5,1000,delay,200ms,16,5,13824,330,0,0,0,0,
1640690509.440108,1640690510.264852,17,824.7439861297607,dilithium5,1000,delay,200ms,16,5,13824,330,0,0,0,0,
1640690513.076317,1640690513.884626,18,808.3088397979736,dilithium5,1000,delay,200ms,16,5,13824,330,0,0,0,0,
1640690516.634898,1640690517.450182,19,815.284013748169,dilithium5,1000,delay,200ms,16,4,13824,264,0,0,0,0,
1640690520.292736,1640690521.108726,20,815.9899711608887,dilithium5,1000,delay,200ms,16,4,13824,264,0,0,0,0,
1640690523.973645,1640690524.787829,21,814.1839504241943,dilithium5,1000,delay,200ms,16,5,13824,330,0,0,0,0,
1640690527.630225,1640690528.446639,22,816.4141178131104,dilithium5,1000,delay,200ms,16,4,13824,264,0,0,0,0,
1640690531.384143,1640690532.203892,23,819.7488784790039,dilithium5,1000,delay,200ms,16,4,13824,264,0,0,0,0,
1640690535.085452,1640690535.917497,24,832.0448398590088,dilithium5,1000,delay,200ms,16,4,13824,264,0,0,0,0,
1640690538.776256,1640690539.592677,25,816.4210319519043,dilithium5,1000,delay,200ms,16,4,13824,264,0,0,0,0,
1640690542.574852,1640690543.391616,26,816.7641162872314,dilithium5,1000,delay,200ms,16,5,13824,330,0,0,0,0,
1640690546.215165,1640690547.048023,27,832.8580856323242,dilithium5,1000,delay,200ms,16,6,13824,396,0,0,0,0,
1640690549.864042,1640690550.678405,28,814.3630027770996,dilithium5,1000,delay,200ms,16,4,13824,264,0,0,0,0,
1640690553.620277,1640690554.441194,29,820.9171295166016,dilithium5,1000,delay,200ms,16,4,13824,264,0,0,0,0,
1640690557.300752,1640690558.11321,30,812.4580383300781,dilithium5,1000,delay,200ms,16,5,13824,330,0,0,0,0,
1640690561.071198,1640690561.887988,31,816.7901039123535,dilithium5,1000,delay,200ms,16,4,13824,264,0,0,0,0,
1640690564.836486,1640690565.649235,32,812.748908996582,dilithium5,1000,delay,200ms,16,5,13824,330,0,0,0,0,
1640690568.519641,1640690569.343497,33,823.8561153411865,dilithium5,1000,delay,200ms,18,4,13956,264,0,0,0,0,
1640690572.324725,1640690573.164953,34,840.2280807495117,dilithium5,1000,delay,200ms,16,4,13824,264,0,0,0,0,
1640690576.00749,1640690576.85537,35,847.8801250457764,dilithium5,1000,delay,200ms,16,5,13824,330,0,0,0,0,
1640690579.666899,1640690580.478362,36,811.4631175994873,dilithium5,1000,delay,200ms,16,5,13824,330,0,0,0,0,
1640690583.305852,1640690584.120188,37,814.3360614776611,dilithium5,1000,delay,200ms,16,4,13824,264,0,0,0,0,
