Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1640819798.676715,1640819798.911353,0,234.63821411132812,falcon1024,1000,delay,50ms,10,5,5966,330,0,0,0,0,
1640819802.138625,1640819802.384151,1,245.52607536315918,falcon1024,1000,delay,50ms,10,5,5963,330,0,0,0,0,
1640819805.936011,1640819806.16998,2,233.96897315979004,falcon1024,1000,delay,50ms,10,5,5963,330,0,0,0,0,
1640819809.649168,1640819809.889458,3,240.28992652893066,falcon1024,1000,delay,50ms,10,5,5968,330,0,0,0,0,
1640819813.295238,1640819813.536006,4,240.7679557800293,falcon1024,1000,delay,50ms,10,5,5964,330,0,0,0,0,
1640819816.833753,1640819817.067091,5,233.3378791809082,falcon1024,1000,delay,50ms,10,5,5970,330,0,0,0,0,
1640819820.471183,1640819820.701938,6,230.75485229492188,falcon1024,1000,delay,50ms,10,5,5968,330,0,0,0,0,
1640819824.099556,1640819824.348591,7,249.03512001037598,falcon1024,1000,delay,50ms,10,4,5967,264,0,0,0,0,
1640819827.808824,1640819828.042061,8,233.23702812194824,falcon1024,1000,delay,50ms,10,4,5968,264,0,0,0,0,
1640819831.35633,1640819831.587432,9,231.10198974609375,falcon1024,1000,delay,50ms,10,5,5972,330,0,0,0,0,
1640819834.986542,1640819835.222731,10,236.1891269683838,falcon1024,1000,delay,50ms,10,4,5962,264,0,0,0,0,
1640819838.671625,1640819838.916196,11,244.57120895385742,falcon1024,1000,delay,50ms,10,5,5962,330,0,0,0,0,
1640819842.262925,1640819842.507355,12,244.4300651550293,falcon1024,1000,delay,50ms,10,4,5966,264,0,0,0,0,
1640819845.784776,1640819846.028761,13,243.98493766784668,falcon1024,1000,delay,50ms,10,4,5965,264,0,0,0,0,
1640819849.450307,1640819849.689808,14,239.5009994506836,falcon1024,1000,delay,50ms,10,5,5965,330,0,0,0,0,
1640819853.110519,1640819853.344377,15,233.8581085205078,falcon1024,1000,delay,50ms,10,5,5962,330,0,0,0,0,
1640819856.851794,1640819857.095261,16,243.4670925140381,falcon1024,1000,delay,50ms,10,5,5963,330,0,0,0,0,
1640819860.398421,1640819860.653022,17,254.60100173950195,falcon1024,1000,delay,50ms,10,5,5965,330,0,0,0,0,
1640819863.873364,1640819864.123178,18,249.81403350830078,falcon1024,1000,delay,50ms,10,4,5962,264,0,0,0,0,
1640819867.532719,1640819867.768741,19,236.0219955444336,falcon1024,1000,delay,50ms,10,5,5970,330,0,0,0,0,
1640819871.127719,1640819871.37613,20,248.4111785888672,falcon1024,1000,delay,50ms,10,4,5967,264,0,0,0,0,
1640819874.743785,1640819874.970805,21,227.0200252532959,falcon1024,1000,delay,50ms,10,5,5965,330,0,0,0,0,
1640819878.404327,1640819878.635596,22,231.26912117004395,falcon1024,1000,delay,50ms,10,5,5967,330,0,0,0,0,
1640819882.073544,1640819882.309443,23,235.8989715576172,falcon1024,1000,delay,50ms,10,5,5965,330,0,0,0,0,
1640819885.722673,1640819885.959265,24,236.59205436706543,falcon1024,1000,delay,50ms,10,4,5970,264,0,0,0,0,
1640819889.266975,1640819889.49462,25,227.6451587677002,falcon1024,1000,delay,50ms,10,5,5968,330,0,0,0,0,
1640819892.718822,1640819892.945947,26,227.1249294281006,falcon1024,1000,delay,50ms,10,4,5968,264,0,0,0,0,
1640819896.335805,1640819896.568861,27,233.05606842041016,falcon1024,1000,delay,50ms,10,4,5967,264,0,0,0,0,
1640819899.97087,1640819900.200168,28,229.29787635803223,falcon1024,1000,delay,50ms,10,5,5969,330,0,0,0,0,
1640819903.576178,1640819903.801246,29,225.0678539276123,falcon1024,1000,delay,50ms,10,5,5967,330,0,0,0,0,
1640819907.247523,1640819907.475784,30,228.26099395751953,falcon1024,1000,delay,50ms,10,5,5967,330,0,0,0,0,
1640819910.835358,1640819911.07907,31,243.7121868133545,falcon1024,1000,delay,50ms,10,4,5966,264,0,0,0,0,
1640819914.500979,1640819914.74633,32,245.35107612609863,falcon1024,1000,delay,50ms,10,5,5965,330,0,0,0,0,
1640819918.056238,1640819918.308284,33,252.0461082458496,falcon1024,1000,delay,50ms,10,5,5961,330,0,0,0,0,
1640819921.60858,1640819921.8487,34,240.11993408203125,falcon1024,1000,delay,50ms,10,5,5965,330,0,0,0,0,
1640819925.178387,1640819925.431156,35,252.76899337768555,falcon1024,1000,delay,50ms,10,5,5966,330,0,0,0,0,
1640819928.708822,1640819928.948077,36,239.25495147705078,falcon1024,1000,delay,50ms,10,5,5962,330,0,0,0,0,
1640819932.428805,1640819932.67118,37,242.37489700317383,falcon1024,1000,delay,50ms,10,5,5963,330,0,0,0,0,
1640819936.129742,1640819936.358771,38,229.02917861938477,falcon1024,1000,delay,50ms,10,5,5963,330,0,0,0,0,
1640819939.768454,1640819940.006269,39,237.81490325927734,falcon1024,1000,delay,50ms,10,5,5964,330,0,0,0,0,
1640819943.344462,1640819943.591403,40,246.94108963012695,falcon1024,1000,delay,50ms,10,4,5961,264,0,0,0,0,
1640819946.930972,1640819947.161694,41,230.72195053100586,falcon1024,1000,delay,50ms,10,4,5956,264,0,0,0,0,
1640819954.280005,1640819954.517024,43,237.01906204223633,falcon1024,1000,delay,50ms,10,4,5962,264,0,0,0,0,
1640819957.8711,1640819958.088653,44,217.55313873291016,falcon1024,1000,delay,50ms,10,5,5965,330,0,0,0,0,
1640819961.43023,1640819961.677951,45,247.72119522094727,falcon1024,1000,delay,50ms,10,4,5968,264,0,0,0,0,
1640819965.14663,1640819965.386984,46,240.35406112670898,falcon1024,1000,delay,50ms,10,4,5964,264,0,0,0,0,
1640819968.615741,1640819968.850418,47,234.67707633972168,falcon1024,1000,delay,50ms,10,5,5960,330,0,0,0,0,
1640819972.282044,1640819972.505835,48,223.79112243652344,falcon1024,1000,delay,50ms,10,4,5968,264,0,0,0,0,
1640819975.914699,1640819976.164278,49,249.57895278930664,falcon1024,1000,delay,50ms,10,5,5968,330,0,0,0,0,
1640819979.583542,1640819979.810209,50,226.66692733764648,falcon1024,1000,delay,50ms,10,5,5965,330,0,0,0,0,
1640819983.143863,1640819983.387164,51,243.3011531829834,falcon1024,1000,delay,50ms,10,4,5962,264,0,0,0,0,
1640819986.572495,1640819986.820089,52,247.59411811828613,falcon1024,1000,delay,50ms,10,5,5966,330,0,0,0,0,
1640819990.256855,1640819990.490263,53,233.40797424316406,falcon1024,1000,delay,50ms,10,4,5965,264,0,0,0,0,
