Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1640808511.920878,1640808511.932771,0,11.893033981323242,falcon512,1000,delay,0ms,8,4,3710,264,0,0,0,0,
1640808514.335589,1640808514.347079,1,11.490106582641602,falcon512,1000,delay,0ms,8,5,3706,330,0,0,0,0,
1640808516.723506,1640808516.739913,2,16.407012939453125,falcon512,1000,delay,0ms,8,5,3707,330,0,0,0,0,
1640808519.005205,1640808519.014513,3,9.308099746704102,falcon512,1000,delay,0ms,8,5,3709,330,0,0,0,0,
1640808521.606715,1640808521.615638,4,8.923053741455078,falcon512,1000,delay,0ms,8,4,3709,264,0,0,0,0,
1640808523.991678,1640808524.002861,5,11.183023452758789,falcon512,1000,delay,0ms,8,5,3710,330,0,0,0,0,
1640808526.447899,1640808526.460062,6,12.162923812866211,falcon512,1000,delay,0ms,8,5,3711,330,0,0,0,0,
1640808528.957135,1640808528.968612,7,11.476993560791016,falcon512,1000,delay,0ms,8,5,3706,330,0,0,0,0,
1640808531.419568,1640808531.427445,8,7.876873016357422,falcon512,1000,delay,0ms,8,4,3708,264,0,0,0,0,
1640808533.890177,1640808533.897726,9,7.549047470092773,falcon512,1000,delay,0ms,8,5,3709,330,0,0,0,0,
1640808536.4229,1640808536.434216,10,11.316061019897461,falcon512,1000,delay,0ms,8,5,3708,330,0,0,0,0,
1640808538.838986,1640808538.847388,11,8.402109146118164,falcon512,1000,delay,0ms,8,5,3712,330,0,0,0,0,
1640808541.205316,1640808541.230363,12,25.046825408935547,falcon512,1000,delay,0ms,8,5,3705,330,0,0,0,0,
1640808543.665258,1640808543.672035,13,6.777048110961914,falcon512,1000,delay,0ms,8,4,3706,264,0,0,0,0,
1640808546.055711,1640808546.068006,14,12.295007705688477,falcon512,1000,delay,0ms,8,5,3713,330,0,0,0,0,
1640808548.548815,1640808548.560779,15,11.964082717895508,falcon512,1000,delay,0ms,8,4,3706,264,0,0,0,0,
1640808551.018997,1640808551.028735,16,9.737968444824219,falcon512,1000,delay,0ms,8,5,3705,330,0,0,0,0,
1640808553.490727,1640808553.503904,17,13.177156448364258,falcon512,1000,delay,0ms,8,5,3713,330,0,0,0,0,
1640808555.957225,1640808555.977467,18,20.241975784301758,falcon512,1000,delay,0ms,8,4,3704,264,0,0,0,0,
1640808558.416059,1640808558.432133,19,16.073942184448242,falcon512,1000,delay,0ms,8,4,3706,264,0,0,0,0,
1640808560.929428,1640808560.952922,20,23.49400520324707,falcon512,1000,delay,0ms,8,4,3705,264,0,0,0,0,
1640808563.440247,1640808563.458339,21,18.091917037963867,falcon512,1000,delay,0ms,8,4,3711,264,0,0,0,0,
1640808565.807972,1640808565.819154,22,11.182069778442383,falcon512,1000,delay,0ms,8,4,3707,264,0,0,0,0,
1640808568.271104,1640808568.291639,23,20.534992218017578,falcon512,1000,delay,0ms,8,4,3705,264,0,0,0,0,
1640808570.745705,1640808570.754566,24,8.861064910888672,falcon512,1000,delay,0ms,8,4,3711,264,0,0,0,0,
1640808573.231221,1640808573.239343,25,8.121967315673828,falcon512,1000,delay,0ms,8,4,3706,264,0,0,0,0,
1640808575.733312,1640808575.742739,26,9.427070617675781,falcon512,1000,delay,0ms,8,4,3710,264,0,0,0,0,
1640808578.056059,1640808578.066379,27,10.320186614990234,falcon512,1000,delay,0ms,8,5,3705,330,0,0,0,0,
1640808580.495892,1640808580.503701,28,7.808923721313477,falcon512,1000,delay,0ms,8,5,3712,330,0,0,0,0,
1640808582.943095,1640808582.9511,29,8.005142211914062,falcon512,1000,delay,0ms,8,5,3708,330,0,0,0,0,
1640808585.444565,1640808585.456415,30,11.84988021850586,falcon512,1000,delay,0ms,8,5,3709,330,0,0,0,0,
1640808587.915645,1640808587.931673,31,16.028165817260742,falcon512,1000,delay,0ms,8,5,3711,330,0,0,0,0,
1640808590.409133,1640808590.433063,32,23.930072784423828,falcon512,1000,delay,0ms,8,4,3704,264,0,0,0,0,
1640808592.988743,1640808593.006773,33,18.02992820739746,falcon512,1000,delay,0ms,8,5,3709,330,0,0,0,0,
1640808595.458814,1640808595.472374,34,13.560056686401367,falcon512,1000,delay,0ms,8,5,3705,330,0,0,0,0,
1640808597.922453,1640808597.931878,35,9.425163269042969,falcon512,1000,delay,0ms,8,4,3707,264,0,0,0,0,
1640808600.290796,1640808600.29975,36,8.954048156738281,falcon512,1000,delay,0ms,8,5,3705,330,0,0,0,0,
1640808602.726796,1640808602.735502,37,8.706092834472656,falcon512,1000,delay,0ms,8,4,3705,264,0,0,0,0,
