Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1635759673.524519,1635759673.605842,0,81.32314682006836,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6641,1329,10,5,6525,983,
1635759676.857447,1635759676.935628,1,78.18102836608887,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6632,1329,10,5,6516,983,
1635759680.187328,1635759680.26711,2,79.78200912475586,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6632,1329,10,5,6516,983,
1635759683.532509,1635759683.612633,3,80.1239013671875,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6630,1329,10,5,6514,983,
1635759686.863692,1635759686.942953,4,79.26106452941895,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6641,1329,10,5,6525,983,
1635759690.203047,1635759690.283531,5,80.48391342163086,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6639,1329,10,5,6523,983,
1635759693.536357,1635759693.615891,6,79.53405380249023,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6641,1329,10,5,6525,983,
1635759696.867452,1635759696.946742,7,79.29015159606934,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6634,1329,10,5,6518,983,
1635759700.196603,1635759700.27513,8,78.52697372436523,falcon512,1000,drop,JPstRhxuzB.pcap,6,6,6640,1403,10,6,6524,1015,
1635759703.524989,1635759703.604615,9,79.62608337402344,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6629,1329,10,5,6513,983,
1635759706.871779,1635759706.951271,10,79.49209213256836,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6635,1329,10,5,6519,983,
1635759710.204802,1635759710.283241,11,78.43899726867676,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6639,1329,10,5,6523,983,
1635759713.536004,1635759713.614974,12,78.96995544433594,falcon512,1000,drop,JPstRhxuzB.pcap,6,7,6641,1475,10,7,6525,1045,
1635759716.875857,1635759716.954076,13,78.21893692016602,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6639,1329,10,5,6523,983,
1635759720.455643,1635759720.535893,14,80.25002479553223,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6638,1329,10,5,6522,983,
1635759723.795366,1635759723.875039,15,79.67305183410645,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6626,1329,10,5,6510,983,
1635759727.128257,1635759727.20809,16,79.8330307006836,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6638,1329,10,5,6522,983,
1635759730.468618,1635759730.548822,17,80.20401000976562,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6640,1329,10,5,6524,983,
1635759733.798109,1635759733.878441,18,80.33204078674316,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6632,1329,10,5,6516,983,
1635759737.127034,1635759737.208011,19,80.97696304321289,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6630,1329,10,5,6514,983,
1635759740.459598,1635759740.538966,20,79.36787605285645,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6635,1329,10,5,6519,983,
1635759743.796112,1635759743.874094,21,77.98194885253906,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6637,1329,10,5,6521,983,
1635759747.125226,1635759747.205419,22,80.19304275512695,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6636,1329,10,5,6520,983,
1635759750.460008,1635759750.53927,23,79.26201820373535,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6633,1329,10,5,6517,983,
1635759753.780974,1635759753.85943,24,78.45616340637207,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6631,1329,10,5,6515,983,
1635759757.108607,1635759757.188147,25,79.54001426696777,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6628,1329,10,5,6512,983,
1635759760.473176,1635759760.553113,26,79.93698120117188,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6638,1329,10,5,6522,983,
1635759763.803562,1635759763.883724,27,80.16204833984375,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6631,1329,10,5,6515,983,
1635759767.136958,1635759767.217261,28,80.30319213867188,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6640,1329,10,5,6524,983,
1635759770.466359,1635759770.545848,29,79.48899269104004,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6635,1329,10,5,6519,983,
1635759773.821608,1635759773.901722,30,80.11388778686523,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6631,1329,10,5,6515,983,
1635759777.152361,1635759777.231763,31,79.40196990966797,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6636,1329,10,5,6520,983,
1635759780.488726,1635759780.568038,32,79.31208610534668,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6638,1329,10,5,6522,983,
1635759783.816081,1635759783.894638,33,78.55701446533203,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6630,1329,10,5,6514,983,
1635759787.14331,1635759787.223739,34,80.4288387298584,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6637,1329,10,5,6521,983,
1635759790.472607,1635759790.551973,35,79.36620712280273,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6639,1329,10,5,6523,983,
1635759793.808523,1635759793.886903,36,78.38010787963867,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6640,1329,10,5,6524,983,
1635759797.134402,1635759797.214438,37,80.03592491149902,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6643,1329,10,5,6527,983,
1635759800.468401,1635759800.547658,38,79.25701141357422,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6631,1329,10,5,6515,983,
1635759803.803103,1635759803.883341,39,80.23810386657715,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6638,1329,10,5,6522,983,
1635759807.134703,1635759807.212941,40,78.23801040649414,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6630,1329,10,5,6514,983,
1635759810.462483,1635759810.542443,41,79.96010780334473,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6630,1329,10,5,6514,983,
1635759813.79451,1635759813.874847,42,80.3370475769043,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6629,1329,10,5,6513,983,
1635759817.118823,1635759817.197918,43,79.09488677978516,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6636,1329,10,5,6520,983,
1635759820.449327,1635759820.528617,44,79.28991317749023,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6634,1329,10,5,6518,983,
1635759823.784435,1635759823.865262,45,80.82699775695801,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6634,1329,10,5,6518,983,
1635759827.116708,1635759827.195962,46,79.2539119720459,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6640,1329,10,5,6524,983,
1635759830.453283,1635759830.53239,47,79.10704612731934,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6632,1329,10,5,6516,983,
1635759833.784009,1635759833.864176,48,80.16705513000488,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6637,1329,10,5,6521,983,
1635759837.112387,1635759837.190816,49,78.42898368835449,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6643,1329,10,5,6527,983,
1635759840.439225,1635759840.51905,50,79.82492446899414,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6627,1329,10,5,6511,983,
1635759843.767832,1635759843.847144,51,79.31184768676758,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6632,1329,10,5,6516,983,
1635759847.109263,1635759847.188849,52,79.58602905273438,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6635,1329,10,5,6519,983,
1635759850.443563,1635759850.524114,53,80.5509090423584,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6634,1329,10,5,6518,983,
1635759853.792976,1635759853.871349,54,78.37319374084473,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6632,1329,10,5,6516,983,
1635759857.119329,1635759857.1986,55,79.27107810974121,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6639,1329,10,5,6523,983,
1635759860.446102,1635759860.524867,56,78.7651538848877,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6641,1329,10,5,6525,983,
1635759863.779961,1635759863.860102,57,80.14082908630371,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6634,1329,10,5,6518,983,
1635759867.122897,1635759867.203362,58,80.46507835388184,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6643,1329,10,5,6527,983,
1635759870.460263,1635759870.540477,59,80.21402359008789,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6638,1329,10,5,6522,983,
1635759873.796245,1635759873.876462,60,80.21688461303711,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6643,1329,10,5,6527,983,
1635759877.136582,1635759877.21507,61,78.48811149597168,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6631,1329,10,5,6515,983,
1635759880.460743,1635759880.540295,62,79.55193519592285,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6630,1329,10,5,6514,983,
1635759883.788965,1635759883.867654,63,78.6890983581543,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6642,1329,10,5,6526,983,
1635759887.341733,1635759887.422033,64,80.30009269714355,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6630,1329,10,5,6514,983,
1635759890.680561,1635759890.760116,65,79.55503463745117,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6639,1329,10,5,6523,983,
1635759894.011,1635759894.09013,66,79.13017272949219,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6645,1329,10,5,6529,983,
1635759897.342842,1635759897.421792,67,78.9499282836914,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6638,1329,10,5,6522,983,
1635759900.688937,1635759900.769079,68,80.14202117919922,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6637,1329,10,5,6521,983,
1635759904.022866,1635759904.101898,69,79.03194427490234,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6639,1329,10,5,6523,983,
1635759907.379002,1635759907.458552,70,79.54978942871094,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6637,1329,10,5,6521,983,
1635759910.705443,1635759910.784336,71,78.89318466186523,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6640,1329,10,5,6524,983,
1635759914.043723,1635759914.123047,72,79.32400703430176,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6636,1329,10,5,6520,983,
1635759920.724398,1635759920.803893,73,79.49519157409668,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6634,1329,10,5,6518,983,
1635759924.054636,1635759924.134753,74,80.11698722839355,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6632,1329,10,5,6516,983,
1635759927.388068,1635759927.466568,75,78.50003242492676,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6642,1329,10,5,6526,983,
1635759930.716926,1635759930.796222,76,79.29587364196777,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6640,1329,10,5,6524,983,
1635759934.044879,1635759934.124506,77,79.62703704833984,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6633,1329,10,5,6517,983,
1635759937.366455,1635759937.445416,78,78.96089553833008,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6638,1329,10,5,6522,983,
1635759940.721556,1635759940.801771,79,80.2149772644043,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6635,1329,10,5,6519,983,
1635759944.050931,1635759944.129156,80,78.22513580322266,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6643,1329,10,5,6527,983,
1635759947.386209,1635759947.464624,81,78.4149169921875,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6636,1329,10,5,6520,983,
1635759950.720586,1635759950.800577,82,79.99086380004883,falcon512,1000,drop,JPstRhxuzB.pcap,6,5,6639,1329,10,5,6523,983,
