Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1635936645.331507,1635936645.657553,0,326.0459899902344,dilithium2,1000,drop,yoTHutovcl.pcap,11,4,7742,228,0,0,0,0,
1635936649.328837,1635936649.632334,1,303.4970760345459,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936653.524159,1635936653.847248,2,323.0891227722168,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936657.816012,1635936658.104433,3,288.4211540222168,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936661.696052,1635936662.006519,4,310.467004776001,dilithium2,1000,drop,yoTHutovcl.pcap,11,4,7742,228,0,0,0,0,
1635936665.894831,1635936666.186567,5,291.7361259460449,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936670.176596,1635936670.503305,6,326.7090320587158,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936674.285021,1635936674.590442,7,305.4208755493164,dilithium2,1000,drop,yoTHutovcl.pcap,11,4,7742,228,0,0,0,0,
1635936678.388812,1635936678.697173,8,308.3610534667969,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936682.524368,1635936682.832679,9,308.31098556518555,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936686.62836,1635936686.90816,10,279.7999382019043,dilithium2,1000,drop,yoTHutovcl.pcap,11,4,7742,228,0,0,0,0,
1635936690.67063,1635936690.976091,11,305.46092987060547,dilithium2,1000,drop,yoTHutovcl.pcap,11,4,7742,228,0,0,0,0,
1635936694.903845,1635936695.232715,12,328.8698196411133,dilithium2,1000,drop,yoTHutovcl.pcap,11,4,7742,228,0,0,0,0,
1635936699.01487,1635936699.357554,13,342.6840305328369,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936703.207651,1635936703.525479,14,317.8281784057617,dilithium2,1000,drop,yoTHutovcl.pcap,11,4,7742,228,0,0,0,0,
1635936707.254935,1635936707.568799,15,313.86399269104004,dilithium2,1000,drop,yoTHutovcl.pcap,11,4,7742,228,0,0,0,0,
1635936711.323011,1635936711.63488,16,311.86914443969727,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936715.476401,1635936715.748131,17,271.7299461364746,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936719.464278,1635936719.759135,18,294.8570251464844,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936723.693787,1635936723.996953,19,303.1659126281738,dilithium2,1000,drop,yoTHutovcl.pcap,13,4,7850,228,0,0,0,0,
1635936727.773359,1635936728.065049,20,291.6898727416992,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936731.977046,1635936732.284601,21,307.5549602508545,dilithium2,1000,drop,yoTHutovcl.pcap,11,5,7742,288,0,0,0,0,
1635936736.320655,1635936736.631779,22,311.1238479614258,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936740.428763,1635936740.728901,23,300.137996673584,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936744.606715,1635936744.888202,24,281.48698806762695,dilithium2,1000,drop,yoTHutovcl.pcap,11,5,7742,288,0,0,0,0,
1635936748.713378,1635936749.021768,25,308.39014053344727,dilithium2,1000,drop,yoTHutovcl.pcap,14,4,7910,228,0,0,0,0,
1635936752.802802,1635936753.127477,26,324.6748447418213,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936757.194063,1635936757.520202,27,326.138973236084,dilithium2,1000,drop,yoTHutovcl.pcap,11,4,7742,228,0,0,0,0,
1635936761.160788,1635936761.472842,28,312.053918838501,dilithium2,1000,drop,yoTHutovcl.pcap,11,4,7742,228,0,0,0,0,
1635936765.093045,1635936765.396484,29,303.4389019012451,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936769.169564,1635936769.481548,30,311.9840621948242,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936773.439645,1635936773.740235,31,300.59003829956055,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936777.447934,1635936777.799637,32,351.7031669616699,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936781.343037,1635936781.652263,33,309.22603607177734,dilithium2,1000,drop,yoTHutovcl.pcap,11,4,7742,228,0,0,0,0,
1635936785.400997,1635936785.737763,34,336.76600456237793,dilithium2,1000,drop,yoTHutovcl.pcap,11,4,7742,228,0,0,0,0,
1635936789.419807,1635936789.720056,35,300.2490997314453,dilithium2,1000,drop,yoTHutovcl.pcap,11,4,7742,228,0,0,0,0,
1635936793.578364,1635936793.884111,36,305.74703216552734,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936797.68976,1635936798.022518,37,332.75794982910156,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936801.685795,1635936801.973309,38,287.51397132873535,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936805.815554,1635936806.148088,39,332.5340747833252,dilithium2,1000,drop,yoTHutovcl.pcap,11,4,7742,228,0,0,0,0,
1635936809.906611,1635936810.228782,40,322.1709728240967,dilithium2,1000,drop,yoTHutovcl.pcap,11,4,7742,228,0,0,0,0,
1635936813.992997,1635936814.289276,41,296.2789535522461,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936817.968895,1635936818.271796,42,302.901029586792,dilithium2,1000,drop,yoTHutovcl.pcap,11,4,7742,228,0,0,0,0,
1635936822.108915,1635936822.432197,43,323.28200340270996,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936826.130617,1635936826.448552,44,317.9349899291992,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936830.270197,1635936830.57044,45,300.2431392669678,dilithium2,1000,drop,yoTHutovcl.pcap,11,4,7742,228,0,0,0,0,
1635936834.455737,1635936834.771435,46,315.69790840148926,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936838.536789,1635936838.831909,47,295.1200008392334,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936842.572813,1635936842.89638,48,323.5669136047363,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936846.668739,1635936846.948863,49,280.1239490509033,dilithium2,1000,drop,yoTHutovcl.pcap,11,4,7742,228,0,0,0,0,
1635936850.8473,1635936851.180876,50,333.575963973999,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936854.838347,1635936855.168997,51,330.65009117126465,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
1635936859.025054,1635936859.333044,52,307.99007415771484,dilithium2,1000,drop,yoTHutovcl.pcap,11,4,7742,228,0,0,0,0,
1635936863.023607,1635936863.32416,53,300.5530834197998,dilithium2,1000,drop,yoTHutovcl.pcap,12,4,7802,228,0,0,0,0,
