Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1635940744.839447,1635940745.115904,0,276.4570713043213,dilithium3,1000,drop,YSQdmgMrIK.pcap,14,4,10296,228,0,0,0,0,
1635940748.892468,1635940749.225655,1,333.1871032714844,dilithium3,1000,drop,YSQdmgMrIK.pcap,13,4,10236,228,0,0,0,0,
1635940752.98896,1635940753.286563,2,297.60289192199707,dilithium3,1000,drop,YSQdmgMrIK.pcap,13,4,10236,228,0,0,0,0,
1635940756.986312,1635940757.301362,3,315.0501251220703,dilithium3,1000,drop,YSQdmgMrIK.pcap,13,4,10236,228,0,0,0,0,
1635940761.166664,1635940761.474861,4,308.197021484375,dilithium3,1000,drop,YSQdmgMrIK.pcap,14,4,10296,228,0,0,0,0,
1635940765.143953,1635940765.456492,5,312.53886222839355,dilithium3,1000,drop,YSQdmgMrIK.pcap,14,4,10296,228,0,0,0,0,
1635940769.068055,1635940769.373911,6,305.85598945617676,dilithium3,1000,drop,YSQdmgMrIK.pcap,13,4,10236,228,0,0,0,0,
1635940773.260349,1635940773.580007,7,319.6580410003662,dilithium3,1000,drop,YSQdmgMrIK.pcap,14,4,10296,228,0,0,0,0,
1635940777.376546,1635940777.700158,8,323.6122131347656,dilithium3,1000,drop,YSQdmgMrIK.pcap,13,4,10236,228,0,0,0,0,
1635940781.492016,1635940781.797045,9,305.02891540527344,dilithium3,1000,drop,YSQdmgMrIK.pcap,14,4,10296,228,0,0,0,0,
1635940785.607111,1635940785.911358,10,304.2471408843994,dilithium3,1000,drop,YSQdmgMrIK.pcap,13,4,10236,228,0,0,0,0,
1635940789.567422,1635940789.884244,11,316.8220520019531,dilithium3,1000,drop,YSQdmgMrIK.pcap,14,4,10296,228,0,0,0,0,
1635940793.684473,1635940793.99861,12,314.1369819641113,dilithium3,1000,drop,YSQdmgMrIK.pcap,13,4,10236,228,0,0,0,0,
1635940797.906845,1635940798.251661,13,344.8159694671631,dilithium3,1000,drop,YSQdmgMrIK.pcap,14,4,10296,228,0,0,0,0,
1635940802.10316,1635940802.388894,14,285.7341766357422,dilithium3,1000,drop,YSQdmgMrIK.pcap,16,4,10404,228,0,0,0,0,
1635940805.954676,1635940806.252432,15,297.7561950683594,dilithium3,1000,drop,YSQdmgMrIK.pcap,14,4,10296,228,0,0,0,0,
1635940809.951606,1635940810.239776,16,288.16986083984375,dilithium3,1000,drop,YSQdmgMrIK.pcap,14,4,10296,228,0,0,0,0,
1635940813.815712,1635940814.109466,17,293.75410079956055,dilithium3,1000,drop,YSQdmgMrIK.pcap,13,4,10236,228,0,0,0,0,
1635940817.734229,1635940818.053058,18,318.828821182251,dilithium3,1000,drop,YSQdmgMrIK.pcap,14,4,10296,228,0,0,0,0,
1635940821.890776,1635940822.207741,19,316.96510314941406,dilithium3,1000,drop,YSQdmgMrIK.pcap,13,5,10236,288,0,0,0,0,
1635940825.88384,1635940826.209696,20,325.85597038269043,dilithium3,1000,drop,YSQdmgMrIK.pcap,13,4,10236,228,0,0,0,0,
1635940829.904091,1635940830.244193,21,340.1021957397461,dilithium3,1000,drop,YSQdmgMrIK.pcap,13,4,10236,228,0,0,0,0,
1635940834.064966,1635940834.375296,22,310.3301525115967,dilithium3,1000,drop,YSQdmgMrIK.pcap,14,4,10296,228,0,0,0,0,
1635940838.080934,1635940838.364422,23,283.48803520202637,dilithium3,1000,drop,YSQdmgMrIK.pcap,14,4,10296,228,0,0,0,0,
1635940842.30874,1635940842.591316,24,282.5760841369629,dilithium3,1000,drop,YSQdmgMrIK.pcap,13,5,10236,288,0,0,0,0,
1635940846.495288,1635940846.824512,25,329.2241096496582,dilithium3,1000,drop,YSQdmgMrIK.pcap,13,4,10236,228,0,0,0,0,
1635940850.493444,1635940850.809296,26,315.85192680358887,dilithium3,1000,drop,YSQdmgMrIK.pcap,13,4,10236,228,0,0,0,0,
1635940854.668718,1635940854.980619,27,311.9008541107178,dilithium3,1000,drop,YSQdmgMrIK.pcap,14,4,10296,228,0,0,0,0,
1635940858.683757,1635940858.970748,28,286.9908809661865,dilithium3,1000,drop,YSQdmgMrIK.pcap,14,4,10296,228,0,0,0,0,
1635940862.708391,1635940863.009999,29,301.6080856323242,dilithium3,1000,drop,YSQdmgMrIK.pcap,14,4,10296,228,0,0,0,0,
1635940866.561246,1635940866.88421,30,322.9641914367676,dilithium3,1000,drop,YSQdmgMrIK.pcap,14,4,10296,228,0,0,0,0,
1635940870.707395,1635940871.012856,31,305.46092987060547,dilithium3,1000,drop,YSQdmgMrIK.pcap,13,5,10236,288,0,0,0,0,
1635940875.000709,1635940875.312929,32,312.21985816955566,dilithium3,1000,drop,YSQdmgMrIK.pcap,13,4,10236,228,0,0,0,0,
1635940879.136643,1635940879.479702,33,343.0590629577637,dilithium3,1000,drop,YSQdmgMrIK.pcap,14,4,10296,228,0,0,0,0,
1635940883.153047,1635940883.455606,34,302.55889892578125,dilithium3,1000,drop,YSQdmgMrIK.pcap,14,4,10296,228,0,0,0,0,
