Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Algorithm,Num Samples,Experiment Type,Type Value,Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1635949316.256473,1635949316.618682,0,362.2088432312012,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949320.568651,1635949320.967953,1,399.30200576782227,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949324.874853,1635949325.243613,2,368.7601089477539,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949329.128258,1635949329.495725,3,367.46692657470703,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949333.262714,1635949333.651874,4,389.16015625,dilithium2,1000,drop,rPIyZBRwGM.pcap,11,4,7742,228,0,0,0,0,
1635949337.552272,1635949337.933509,5,381.2370300292969,dilithium2,1000,drop,rPIyZBRwGM.pcap,11,4,7742,228,0,0,0,0,
1635949341.922679,1635949342.320413,6,397.7341651916504,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949346.300294,1635949346.724148,7,423.85411262512207,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949350.72082,1635949351.109252,8,388.4320259094238,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949354.993765,1635949355.373123,9,379.35781478881836,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949359.436865,1635949359.812619,10,375.75387954711914,dilithium2,1000,drop,rPIyZBRwGM.pcap,11,4,7742,228,0,0,0,0,
1635949363.78703,1635949364.183873,11,396.84295654296875,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949368.020698,1635949368.420388,12,399.6899127960205,dilithium2,1000,drop,rPIyZBRwGM.pcap,11,4,7742,228,0,0,0,0,
1635949372.311202,1635949372.695041,13,383.8388919830322,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949376.520589,1635949376.887247,14,366.65797233581543,dilithium2,1000,drop,rPIyZBRwGM.pcap,11,4,7742,228,0,0,0,0,
1635949380.708972,1635949381.117685,15,408.71310234069824,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949384.947148,1635949385.288109,16,340.9609794616699,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949388.919878,1635949389.299451,17,379.57310676574707,dilithium2,1000,drop,rPIyZBRwGM.pcap,11,4,7742,228,0,0,0,0,
1635949393.328175,1635949393.700087,18,371.91200256347656,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949397.77157,1635949398.107989,19,336.41910552978516,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949401.883714,1635949402.24798,20,364.26615715026855,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949406.283265,1635949406.668695,21,385.42985916137695,dilithium2,1000,drop,rPIyZBRwGM.pcap,11,4,7742,228,0,0,0,0,
1635949410.426456,1635949410.808393,22,381.93702697753906,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949414.70021,1635949415.114212,23,414.0019416809082,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949418.859382,1635949419.257075,24,397.6931571960449,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949423.021174,1635949423.385712,25,364.53795433044434,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949427.136685,1635949427.544889,26,408.2040786743164,dilithium2,1000,drop,rPIyZBRwGM.pcap,13,4,7850,228,0,0,0,0,
1635949431.439801,1635949431.840638,27,400.8369445800781,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949435.823489,1635949436.242353,28,418.86401176452637,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949440.04679,1635949440.399111,29,352.3211479187012,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949444.478237,1635949444.853247,30,375.01001358032227,dilithium2,1000,drop,rPIyZBRwGM.pcap,11,5,7742,288,0,0,0,0,
1635949448.879553,1635949449.260628,31,381.0749053955078,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
1635949453.26888,1635949453.676069,32,407.18913078308105,dilithium2,1000,drop,rPIyZBRwGM.pcap,11,4,7742,228,0,0,0,0,
1635949457.567861,1635949457.946189,33,378.3278465270996,dilithium2,1000,drop,rPIyZBRwGM.pcap,11,4,7742,228,0,0,0,0,
1635949461.888575,1635949462.263892,34,375.316858291626,dilithium2,1000,drop,rPIyZBRwGM.pcap,12,4,7802,228,0,0,0,0,
